Team,Abbreviation1,Abbreviation2,Abbreviation3,Abbreviation4,Abbreviation5,Abbreviation6
Atlantic Coast Conference,ACC,,,,,
Boston College,BC,,,,,
Clemson,CLEM,,,,,
Duke,DUKE,,,,,
Florida State,FSU,Florida St.,Florida St,,,
Georgia Tech,GT,,,,,
Louisville,LOU,,,,,
Miami (FL),MIA,Miami (Fla),Miami,,,
NC State,NCST,North Carolina St.,North Carolina St,NC St.,NC St,North Carolina State
Pittsburgh,PITT,,,,,
Syracuse,SYR,,,,,
North Carolina,UNC,,,,,
Virginia,UVA,,,,,
Virginia Tech,VT,,,,,
Wake Forest,WAKE,,,,,
Big Ten Conference,B1G,Big Ten,,,,
Illinois,ILL,,,,,
Indiana,IND,,,,,
Iowa,IOWA,,,,,
Michigan,MICH,,,,,
Michigan State,MSU,Michigan St.,Michigan St,,,
Minnesota,MINN,,,,,
Nebraska,NEB,,,,,
Northwestern,NW,,,,,
Ohio State,OSU,Ohio St.,Ohio St,,,
Penn State,PSU,Penn St.,Penn St,,,
Purdue,PUR,,,,,
Rutgers,RUTG,,,,,
Maryland,UMD,,,,,
Wisconsin,WIS,,,,,
Big Twelve,B12,,,,,
Baylor,BAY,,,,,
Iowa State,ISU,Iowa St.,Iowa St,,,
Kansas,KU,,,,,
Kansas State,KSU,Kansas St.,Kansas St,,,
Oklahoma,OKLA,OU,,,,
Oklahoma State,OKST,Oklahoma St.,Oklahoma St,,,
TCU,TCU,,,,,
Texas,TEX,,,,,
Texas Tech,TTU,,,,,
West Virginia,WVU,,,,,
Pac-12 Conference,P12,Pac-12,,,,
Arizona,ARIZ,,,,,
Arizona State,ASU,Arizona St.,Arizona St,,,
California,CAL,Cal,,,,
Colorado,COLO,,,,,
Oregon,ORE,UO,,,,
Oregon State,ORST,Oregon St.,Oregon St,,,
Stanford,STAN,,,,,
UCLA,UCLA,,,,,
USC,USC,Southern Cal,,,,
Utah,UTAH,,,,,
Washington,WASH,UW,,,,
Washington State,WSU,Washington St.,Washington St,,,
Southeastern Conference,SEC,,,,,
Alabama,ALA,BAMA,,,,
Arkansas,ARK,,,,,
Auburn,AUB,,,,,
Florida,FLA,UF,,,,
Georgia,UGA,,,,,
Kentucky,UK,,,,,
LSU,LSU,Lousiana State,,,,
Ole Miss,MISS,Mississippi,,,,
Mississippi State,MSST,Mississippi St.,Mississippi St,,,
Missouri,MIZ,MIZZ,,,,
South Carolina,SC,SCAR,,,,
Tennessee,TENN,,,,,
Texas A&M,TAMU,Texas A&M;,,,,
Vanderbilt,VAN,,,,,
Independents,IND,,,,,
BYU,BYU,Brigham Young,,,,
Army,ARMY,,,,,
UMass,UMASS,Massachusetts,,,,
Notre Dame,ND,,,,,
American Athletic Conference,AAC,The American,,,,
Cincinnati,CIN,,,,,
UConn,CONN,Connecticut,,,,
ECU,ECU,East Carolina,,,,
Houston,HOU,,,,,
Memphis,MEM,,,,,
Navy,NAVY,,,,,
SMU,SMU,Southern Methodist,,,,
South Florida,USF,,,,,
Temple,TEM,,,,,
Tulane,TULN,,,,,
Tulsa,TLSA,,,,,
UCF,UCF,Central Florida,,,,
Conference USA,CUSA,C-USA,,,,
Charlotte,CHAR,,,,,
FAU,FAU,Florida Atlantic,,,,
FIU,FIU,Florida International,Florida Int.,Florida Intl,Florida Intl.,
Louisiana Tech,LT,La Tech,,,,
Marshall,MRSH,,,,,
Middle Tennessee,MTSU,Middle Tenn,,,,
North Texas,UNT,,,,,
Old Dominion,ODU,,,,,
Rice,RICE,,,,,
Southern Miss,USM,Southern Mississippi,,,,
UTEP,UTEP,Texas El-Paso,Texas-El Paso,,,
UTSA,UTSA,Texas San-Antonio,Texas-San Antonio,UT San Antonio,,
WKU,WKU,Western Kentucky,,,,
Mid-American Conference,MAC,,,,,
Akron,AKR,,,,,
Ball State,BALL,Ball St.,Ball St,,,
Bowling Green,BGSU,,,,,
Buffalo,BUFF,,,,,
Central Michigan,CMU,,,,,
Eastern Michigan,EMU,,,,,
Kent State,KENT,Kent St.,Kent St,,,
Miami (OH),M-OH,Miami (Ohio),,,,
Northern Illinois,NIU,,,,,
Ohio,OHIO,,,,,
Toledo,TOL,TOLEDO,,,,
Western Michigan,WMU,,,,,
Mountain West Conference,MWC,MW,,,,
Air Force,AFA,,,,,
Boise State,BSU,Boise St.,Boise St,,,
Colorado State,CSU,Colorado St.,Colorado St,,,
Fresno State,FRES,Fresno St.,Fresno St,,,
Hawaii,HAW,Hawai'i,,,,
Nevada,NEV,,,,,
New Mexico,UNM,,,,,
San Diego State,SDSU,San Diego St.,San Diego St,,,
San José State,SJSU,San Jose St.,San Jose St,San Jose State,,
UNLV,UNLV,,,,,
Utah State,USU,Utah St.,Utah St,,,
Wyoming,WYO,,,,,
Sun Belt Conference,SBC,Sun Belt,,,,
Appalachian State,APP,Appalachian St.,Appalachian St,App State,Appalachian,
Arkansas State,ARST,Arkansas St.,Arkansas St,AKST,,
Georgia Southern,GASO,,,,,
Georgia State,GAST,GSU,Georgia St.,Georgia St,,
Idaho,IDHO,,,,,
Louisiana-Lafayette,ULL,Louisiana,Louisiana Lafayette,,,
Louisiana-Monroe,ULM,Louisiana Monroe,,,,
New Mexico State,NMSU,New Mexico St.,New Mexico St,,,
South Alabama,USA,,,,,
Texas State,TXST,Texas St.,Texas St,,,
Troy,TROY,Troy St.,Troy St,Troy State,,
South Dakota State,SDKST,South Dakota St.,South Dakota St,,,
Massachusetts,UMASS,Mass,,,,
Citadel,CIT,The Citadel,,,,
Stephen F. Austin,SFA,Stephen F Austin,,,,
